///////////////////////////////////         30/01/2025
13:11:34.928 > Serial iniciado                 SiPM 2
13:11:36.078 > SPI iniciado
13:11:36.079 > CSs en HIGH
13:11:36.079 > DEBUG (start_tmp100) -> Status: 0
13:11:36.080 > TMP iniciado
13:11:36.080 > 25.0000
13:11:36.190 > MODE0: 100100
13:11:36.240 > MODE0: 11111100
13:11:36.241 > PGA: 0
13:11:36.242 > PGA BYPASS MODE: 10000000
13:11:36.742 > Setup finalizado
13:11:39.745 > Datos obtenidos:
13:11:39.746 > Temperatura: 25.0000
13:11:39.749 > Obtención de curva
13:11:39.749 > Vbd teorico: 24.54
13:11:39.751 > Limites (dec, hex): 26.84, 29.84, 61BF, 41BF, paso: 20
13:11:39.755 > Comandos calculados
13:11:51.766 > First VCurrent: 1.2166624
13:11:51.769 > Tiempo promedio de muestreo [ms]: 30.000
13:11:51.773 > i, Voltage, VCorriente, (Voltage*12)-3.8, (VCorriente-firstCurrent)/2000
13:11:53.163 > 190,2.4312589,1.3432552,25.44,25.3751060,0.0000632964
13:11:53.171 > 191,2.4319911,1.3468823,25.44,25.3838932,0.0000651100
13:11:53.178 > 192,2.4324665,1.3505805,25.44,25.3895981,0.0000669590
13:11:53.186 > 193,2.4332385,1.3538024,25.44,25.3988621,0.0000685700
13:11:53.193 > 194,2.4337578,1.3569502,25.44,25.4050934,0.0000701439
13:11:53.200 > 195,2.4344809,1.3607131,25.44,25.4137718,0.0000720254
13:11:53.208 > 196,2.4349074,1.3643599,25.44,25.4188892,0.0000738487
13:11:53.214 > 197,2.4357748,1.3683635,25.44,25.4292976,0.0000758505
13:11:53.222 > 198,2.4362330,1.3717315,25.50,25.4347965,0.0000775346
13:11:53.230 > 199,2.4369168,1.3755469,25.50,25.4430019,0.0000794423
13:11:53.237 > 200,2.4374611,1.3789495,25.50,25.4495346,0.0000811436
13:11:53.244 > 201,2.4381487,1.3829840,25.50,25.4577858,0.0000831608
13:11:53.252 > 202,2.4387641,1.3868299,25.50,25.4651691,0.0000850837
13:11:53.259 > 203,2.4395123,1.3907524,25.50,25.4741470,0.0000870450
13:11:53.266 > 204,2.4399548,1.3943307,25.50,25.4794571,0.0000888342
13:11:53.274 > 205,2.4406893,1.3986239,25.50,25.4882729,0.0000909808
13:11:53.280 > 206,2.4412892,1.4026310,25.50,25.4954712,0.0000929843
13:11:53.288 > 207,2.4419332,1.4060016,25.50,25.5031979,0.0000946696
13:11:53.295 > 208,2.4425716,1.4099736,25.50,25.5108597,0.0000966556
13:11:53.303 > 209,2.4431710,1.4138771,25.50,25.5180523,0.0000986074
13:11:53.310 > 210,2.4438131,1.4182000,25.50,25.5257561,0.0001007688
13:11:53.317 > 211,2.4444642,1.4219767,25.50,25.5335705,0.0001026571
13:11:53.324 > 212,2.4448180,1.4264474,25.50,25.5378162,0.0001048925
13:11:53.331 > 213,2.4457211,1.4306517,25.50,25.5486538,0.0001069946
13:11:53.339 > 214,2.4462185,1.4340554,25.50,25.5546219,0.0001086965
13:11:53.346 > 215,2.4469149,1.4379066,25.50,25.5629799,0.0001106221
13:11:53.353 > 216,2.4475744,1.4432690,25.50,25.5708916,0.0001133033
13:11:53.361 > 217,2.4482586,1.4478505,25.50,25.5791046,0.0001155940
13:11:53.368 > 218,2.4488509,1.4516182,25.50,25.5862114,0.0001174779
13:11:53.375 > 219,2.4494607,1.4554116,25.50,25.5935280,0.0001193746
13:11:53.382 > 220,2.4501090,1.4604028,25.50,25.6013081,0.0001218702
13:11:53.390 > 221,2.4508195,1.4637661,25.50,25.6098339,0.0001235518
13:11:53.397 > 222,2.4512861,1.4687270,25.50,25.6154320,0.0001260323
13:11:53.404 > 223,2.4519763,1.4737492,25.50,25.6237156,0.0001285434
13:11:53.412 > 224,2.4524493,1.4780227,25.50,25.6293919,0.0001306801
13:11:53.419 > 225,2.4533103,1.4820168,25.50,25.6397240,0.0001326772
13:11:53.426 > 226,2.4537189,1.4874150,25.50,25.6446259,0.0001353763
